time,msg.id,msg.len,data
1668751561451,5F3,8,00010080006B0000
1668751561451,5F5,8,00640000006403E8
1668751561451,5FD,8,0000000000000000
1668751561451,5F0,8,00050BDD08351263
1668751561461,5F0,8,00050C5B084B1278
1668751561472,5F0,8,00050C9C088C129C
1668751561482,5F0,8,00050CCA08D6125F
1668751561493,5F0,8,00050CE508F11250
1668751561503,5F1,8,018800118E8E0101
1668751561504,5F2,8,03E802DB02BB05EB
1668751561508,5F0,8,00050CBE092E1295
1668751561509,5F3,8,00C1007E00650000
1668751561509,5F5,8,00640009006403E8
1668751561509,60F,8,6500000000000000
1668751561509,625,8,0251000000000000
1668751561514,5F0,8,00050C60096C12BE
1668751561525,5F0,8,00050C74098012B8
1668751561535,5F0,8,0005081A097A129B
1668751561546,5F0,8,00050000095E12F5
1668751561556,5F0,8,00050000093A1315
1668751561567,5F0,8,0005000009361333
1668751561577,5F0,8,000500000915134D
1668751561587,5F0,8,000505BA08F6134E
1668751561598,5F0,8,000505AD08E91317
1668751561604,5F1,8,018A00218E8E0101
1668751561604,5F2,8,03E802BF02BB05EB
1668751561605,5F3,8,0005007F00650000
1668751561605,5F5,8,0064FFFC006403E8
1668751561609,5FD,8,004A013202CB0129
1668751561610,289,8,00009C0000000000
1668751561610,316,8,0000337800000000
1668751561610,5F0,8,0005071D08B112B9
1668751561619,5F0,8,0005088E088E1254
1668751561629,5F0,8,0005087E087E122B
1668751561640,5F0,8,0005086D086D120B
1668751561650,5F0,8,0005086708671231
1668751561661,5F0,8,000508650865125A
1668751561671,5F0,8,000508620862129E
1668751561681,5F0,8,00050854085412A9
1668751561692,5F0,8,0005085008501290
1668751561702,5F0,8,0005084608461298
1668751561703,5F1,8,018800018F8F0101
1668751561704,5F2,8,03E802A602BB05EB
1668751561704,5F3,8,0002007F00650000
1668751561709,5F5,8,00640000006403E8
1668751561709,5FD,8,004A013102A70118
1668751561710,5FE,8,0070F973F9680000
1668751561710,60F,8,6500000000000000
1668751561714,5F0,8,00050841084112B5
1668751561723,5F0,8,0005083F083F12C4
1668751561733,5F0,8,00050837083712A9
1668751561744,5F0,8,00050833083312AF
1668751561754,5F0,8,0005082A082A12C6
1668751561765,5F0,8,00050824082412F0
1668751561776,5F0,8,00050821082112F2
1668751561786,5F0,8,00050819081912DB
1668751561797,5F0,8,00050818081812F9
1668751561804,5F1,8,018A00018E8E0101
1668751561804,5F2,8,03E8029D02BB05EB
1668751561809,5F5,8,00640000006403E8
1668751561810,5F3,8,0002007F00650000
1668751561810,625,8,027B000000000000
1668751561810,5FD,8,004A013102970120
1668751561810,329,8,0098000000000000
1668751561814,60F,8,6500000000000000
1668751561819,5F0,8,0005081C081C1313
1668751561828,5F0,8,0005081C081C12F5
1668751561838,5F0,8,00050819081912FC
1668751561849,5F0,8,000508190819131A
1668751561859,5F0,8,0005081C081C1338
1668751561870,5F0,8,0005094D08211328
1668751561881,5F0,8,000509CD082D132A
1668751561891,5F0,8,000509D108311338
1668751561902,5F0,8,00050A1F08471339
1668751561904,5F1,8,018C00118E8E0101
1668751561909,5F2,8,03E802AE02BB05EB
1668751561909,316,8,0000F57A00000000
1668751561910,5F3,8,004E007F00650000
1668751561910,5F5,8,00640005006403E8
1668751561910,289,8,00009C0000000000
1668751561914,60F,8,6500000000000000
1668751561915,5F0,8,00050A540860131D
1668751561922,5F0,8,00050A5F086B132F
1668751561933,5F0,8,00050A42087E136A
1668751561944,5F0,8,00050A5908951375
1668751561954,5F0,8,00050A1D08A5135C
1668751561964,5F0,8,00050A1D08A51363
1668751561975,5F0,8,000508B708B713B5
1668751561985,5F0,8,000508F608F613C3
1668751562000,5F0,8,000508FC08FC13BC
1668751562008,5F1,8,019000018D8D0101
1668751562009,5F2,8,03E802CB02BB05EB
1668751562013,5F5,8,00640000006403E8
1668751562014,5F3,8,0065007F00650000
1668751562014,316,8,0000C08000000000
1668751562014,5FD,8,004A013102C60131
1668751562014,289,8,00009C0000000000
1668751562018,329,8,0098000000000000
1668751562023,5F0,8,0005093E093E143D
1668751562032,5F0,8,0005095C095C1459
1668751562042,5F0,8,0006096D096D1473
1668751562053,5F0,8,000609810981149B
1668751562063,5F0,8,000609A809A814C1
1668751562074,5F0,8,000609C609C614C7
1668751562084,5F0,8,000609D309D314E9
1668751562095,5F0,8,000609EE09EE1527
1668751562105,5F0,8,00060A0E0A0E155E
1668751562108,5F1,8,019800018C8C0101
1668751562113,5F2,8,03E802D602BB05EB
1668751562114,5F3,8,0073007F00650000
1668751562114,60F,8,6500000000000000
1668751562114,5F5,8,00640000006403E8
1668751562114,625,8,0243000000000000
1668751562118,289,8,00009C0000000000
1668751562119,316,8,0000D48900000000
1668751562119,329,8,0098000000000000
1668751562119,5F0,8,00060A170A171578
1668751562127,5F0,8,00060A470A4715A5
1668751562137,5F0,8,00060A240A2415DE
1668751562147,5F0,8,00060A490A491615
1668751562158,5F0,8,00060A730A731641
1668751562168,5F0,8,00060A7E0A7E1678
1668751562178,5F0,8,00060A8F0A8F16AC
1668751562189,5F0,8,00060A9B0A9B16F2
1668751562199,5F0,8,00060AB80AB8173E
1668751562209,5F1,8,019E00018B8B0101
1668751562210,5F2,8,03E802C602BB05EB
1668751562210,5F3,8,0078008000650000
1668751562210,5F0,8,00060ADE0ADE178A
1668751562211,5F5,8,00640000006403E8
1668751562212,5FD,8,004A012F02BC0184
1668751562212,5FE,8,0070F976F9680000
1668751562213,625,8,024F000000000000
1668751562218,60F,8,6500000000000000
1668751562219,289,8,00009C0000000000
1668751562219,316,8,00002C9800000000
1668751562219,329,8,0098000000000000
1668751562223,5F0,8,00060ACD0ACD17D3
1668751562230,5F0,8,00060AB10AB11851
1668751562240,5F0,8,00060A9A0A9A18AF
1668751562251,5F0,8,00060A800A801922
1668751562261,5F0,8,00060A520A521988
1668751562272,5F0,8,00060A2D0A2D1A12
1668751562282,5F0,8,00060A120A121A72
1668751562293,5F0,8,000609EE09EE1B00
1668751562304,5F0,8,000609D109D11B66
1668751562313,5F1,8,01A600018D8D0101
1668751562314,5F2,8,03E8027B02BB05EB
1668751562314,625,8,0293000000000000
1668751562314,5F3,8,0073008000650000
1668751562314,5FE,8,0070F973F9680000
1668751562318,60F,8,6500000000000000
1668751562319,5F0,8,000609C109C11BC3
1668751562319,289,8,00009C0000000000
1668751562319,329,8,0098000000000000
1668751562329,5F0,8,000609B009B01C5B
1668751562335,5F0,8,0006099A099A1CC2
1668751562345,5F0,8,0006097909791D56
1668751562355,5F0,8,0006093309331DE7
1668751562365,5F0,8,0006091009101E49
1668751562375,5F0,8,000608FA08FA1EDF
1668751562386,5F0,8,000608DE08DE1F66
1668751562396,5F0,8,000608BD08BD1FEB
1668751562406,5F0,8,0006089A089A2037
1668751562413,5F1,8,01A6000193930101
1668751562414,5F2,8,03E801F902BB05EB
1668751562414,5F3,8,005B008000650000
1668751562414,5FE,8,0070F973F9680000
1668751562418,625,8,0303000000000000
1668751562419,60F,8,6500000000000000
1668751562419,289,8,00009C0000000000
1668751562419,5F0,8,00060849084920A4
1668751562427,5F0,8,000607E307E3210B
1668751562438,5F0,8,000607910791214A
1668751562449,5F0,8,0006075D075D2191
1668751562459,5F0,8,0006074D074D21BE
1668751562470,5F0,8,00060734073421E4
1668751562480,5F0,8,0006072307232204
1668751562491,5F0,8,0006071407142215
1668751562501,5F0,8,0006070507052228
1668751562510,5F1,8,0176000194940101
1668751562511,5F2,8,03E8019602BB05EB
1668751562511,5F3,8,0033008000650000
1668751562512,5F5,8,00640000006403E8
1668751562512,5FD,8,004A0130019A0292
1668751562513,5F0,8,000606F906F9223A
1668751562513,5FE,8,0070F973F9680000
1668751562518,625,8,0378000000000000
1668751562519,60F,8,6500000000000000
1668751562519,289,8,00009C0000000000
1668751562519,329,8,0098000000000000
1668751562523,5F0,8,000606EC06EC2242
1668751562534,5F0,8,000606E106E1223D
1668751562544,5F0,8,000606D306D32244
1668751562554,5F0,8,000606C606C62241
1668751562564,5F0,8,000606BC06BC2234
1668751562575,5F0,8,000606B106B12223
1668751562585,5F0,8,000606BA06BA220E
1668751562596,5F0,8,000606B306B321E3
1668751562606,5F0,8,000606AB06AB21C8
1668751562613,5F1,8,017F002195950101
1668751562614,5F2,8,03E8015C02BB05EB
1668751562614,5F3,8,000E007F00650000
1668751562614,5FE,8,0070F976F9680000
1668751562618,625,8,03B2000000000000
1668751562619,60F,8,6500000000000000
1668751562619,5F0,8,000606A206A22198
1668751562619,329,8,0098000000000000
1668751562627,5F0,8,0006069406942163
1668751562638,5F0,8,000606910691210F
1668751562648,5F0,8,0006068906891FEE
1668751562658,5F0,8,0006068406841E42
1668751562668,5F0,8,0006068406841CDD
1668751562678,5F0,8,0006068806881B1C
1668751562689,5F0,8,0006068206821923
1668751562699,5F0,8,0006067806781707
1668751562709,5F0,8,00060665066515A0
1668751562711,5F1,8,0183000196960101
1668751562711,5F2,8,03E8016C02BB05EB
1668751562712,5F3,8,0008007F00650000
1668751562712,5F5,8,00640000006403E8
1668751562713,5FD,8,004A00FC016801CA
1668751562718,5FE,8,0070F973F9680000
1668751562719,625,8,039A000000000000
1668751562719,60F,8,6500000000000000
1668751562719,329,8,0098000000000000
1668751562719,316,8,0000478100000000
1668751562723,5F0,8,0006063C063C1423
1668751562729,5F0,8,0006061206121349
1668751562739,5F0,8,000605F905F91189
1668751562750,5F0,8,00060609060910CB
1668751562760,5F0,8,0006061106110FB2
1668751562771,5F0,8,0006061206120F41
1668751562781,5F0,8,0006062106210EC7
1668751562792,5F0,8,0006063206320E36
1668751562802,5F0,8,0006064806480D83
1668751562811,5F1,8,0154000194940101
1668751562812,5F2,8,03E801D402BB05EB
1668751562812,5F3,8,0008007F00650000
1668751562813,5F5,8,00640000006403E8
1668751562813,5FD,8,004A013101E500B6
1668751562818,5F0,8,0006067506750CD3
1668751562819,316,8,0000514E00000000
1668751562819,5FE,8,0070F973F9680000
1668751562819,625,8,0350000000000000
1668751562819,329,8,0098000000000000
1668751562823,5F0,8,0006067506750C33
1668751562833,5F0,8,000606B706B70BA2
1668751562843,5F0,8,0006070F070F0AEB
1668751562853,5F0,8,000608B5072509EA
1668751562863,5F0,8,000608B5072509EA
1668751562874,5F0,8,00060A2806F8087E
1668751562884,5F0,8,00060A2806F8087E
